*** Program Start ***
Value 1: 0000000000001001
Value 2: 1111111111110101
Counter		MD				AC				MQ				MQ-1
15	1111111111110101		0000000000000000		0000000000001001			0
15	1111111111110101		0000000000001011		0000000000001001			0
15	1111111111110101		0000000000000101		1000000000000100			1
14	1111111111110101		1111111111111010		1000000000000100			1
14	1111111111110101		1111111111111101		0100000000000010			0
13	1111111111110101		1111111111111110		1010000000000001			0
12	1111111111110101		0000000000001001		1010000000000001			0
12	1111111111110101		0000000000000100		1101000000000000			1
11	1111111111110101		1111111111111001		1101000000000000			1
11	1111111111110101		1111111111111100		1110100000000000			0
10	1111111111110101		1111111111111110		0111010000000000			0
9	1111111111110101		1111111111111111		0011101000000000			0
8	1111111111110101		1111111111111111		1001110100000000			0
7	1111111111110101		1111111111111111		1100111010000000			0
6	1111111111110101		1111111111111111		1110011101000000			0
5	1111111111110101		1111111111111111		1111001110100000			0
4	1111111111110101		1111111111111111		1111100111010000			0
3	1111111111110101		1111111111111111		1111110011101000			0
2	1111111111110101		1111111111111111		1111111001110100			0
1	1111111111110101		1111111111111111		1111111100111010			0
0	1111111111110101		1111111111111111		1111111110011101			0
Product: 11111111111111111111111110011101
*** Program End ***
